snapshot,i,j,d_meas_m,d_gt_m,d_err_signed_mm,d_err_abs_mm,zang_meas_deg,zang_gt_deg,zang_err_deg,zang_err_abs_deg,tx_err_mm,ty_err_mm,tz_err_mm,t_err_norm_mm,roll_err_deg,pitch_err_deg,yaw_err_deg,geo_err_deg
1,0,1,0.05795740686103205,0.05750000000000001,0.4574068610320378,0.4574068610320378,0.6428346358169502,0.0,0.6428346358169502,0.6428346358169502,0.37945167810377045,2.0968325591756987,-2.152527982636987,3.0288722444616796,-0.2241025605357779,-0.6025083091396296,59.94457680916376,59.94652500925747
1,0,2,0.11564551219658921,0.11500000000000002,0.6455121965891902,0.6455121965891902,0.8923352884169126,0.0,0.8923352884169126,0.8923352884169126,0.6443539923944863,0.30911950164203006,0.41512170133295445,0.8264822809520463,-0.3453712306747138,0.8227935218585427,179.85025541001102,179.85273976928121
1,0,3,0.05237724635116044,0.052500000000000005,-0.12275364883956169,0.12275364883956169,0.3256968911836451,0.0,0.3256968911836451,0.3256968911836451,-0.12046985719737363,0.12654210256603238,-0.6183285610158462,0.6425387922786568,0.17551613804290614,0.2743588629297142,89.91785772525627,89.91790101845716
1,0,4,0.07724338166682725,0.0778620575119872,-0.618675845159955,0.618675845159955,0.4461154275785214,0.0,0.4461154275785214,0.4461154275785214,0.2363364414180516,1.2227291619190255,-1.92274830610073,2.290825738803058,0.2629797926306679,-0.36036303267554376,-0.12447921230167858,0.4629349456902004
1,0,5,0.1268025068044545,0.12641696879770534,0.3855380067491754,0.3855380067491754,0.8219920659439625,0.0,0.8219920659439625,0.8219920659439625,0.5723970047574328,0.3293360909183002,-0.3443976685507666,0.7447887928398433,-0.5889758637174731,0.573402101163566,119.84078893855691,119.84544362915544
1,0,6,0.10781264744136074,0.10750000000000001,0.312647441360725,0.312647441360725,0.2764186599113288,0.0,0.2764186599113288,0.2764186599113288,-0.2597412239498942,-0.31162718377777954,-0.3905467933981166,0.5631197056770525,0.2500206361939705,-0.11788572955465426,179.84413478147195,179.84439244268532
1,0,7,0.12109959182735856,0.1219118534023661,-0.8122615750075363,0.8122615750075363,0.4103589450001949,0.0,0.4103589450001949,0.4103589450001949,0.11566756174972992,1.0092390956145392,-2.294304725138585,2.509138638806397,-0.410299955998489,-0.006957778236976353,89.92969644558666,89.93040719161131
1,0,8,0.15783766244547423,0.15742061491431167,0.4170475311625621,0.4170475311625621,0.8540265436462261,0.0,0.8540265436462261,0.8540265436462261,0.44058327368559635,-0.1391116236822143,-0.14515008507742788,0.4842873239028704,-0.29669034790427534,-0.8008382527784449,-0.1413731000709671,0.865989539660363
1,0,9,0.16579511396312707,0.165,0.7951139631270643,0.7951139631270643,1.1807403946477606,0.0,1.1807403946477606,1.1807403946477606,-0.41913333152398397,-0.7945735030935597,-0.05948297240732092,0.9003099607463948,-1.1780180407172807,0.08013913075505592,-0.11559156159746617,1.1863047821560446
1,0,10,0.17465850498418223,0.17473193755006552,-0.07343256588329683,0.07343256588329683,0.7925452317615286,0.0,0.7925452317615286,0.7925452317615286,-0.0005122651121070021,0.08469841675182166,-1.53152774750831,1.5338680926349855,-0.7924081657053403,-0.01473964598964765,59.84978798554594,59.8544473559411
